NUMLOTE,CODCTACTB,CODCONPAR,REFERENCIA,DTMOV,CODCENCUS,VLRLANC,CODHISTCTB,COMPLHIST,TIPLANC,VENCIMENTO,NUMDOC,CODPROJ,CODEMPORIG
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  523,44 ",056,Número Único,D,1/3/2022,849801,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  59,85 ",056,Número Único,D,1/3/2022,849812,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  181,30 ",056,Número Único,D,1/3/2022,849836,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  1.220,56 ",056,Número Único,D,1/3/2022,849836,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  29,31 ",056,Número Único,D,1/3/2022,849849,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  410,01 ",056,Número Único,D,1/3/2022,849849,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  32,33 ",056,Número Único,D,1/3/2022,849849,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  13,74 ",056,Número Único,D,1/3/2022,849849,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  30,63 ",056,Número Único,D,1/3/2022,849849,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  30,15 ",056,Número Único,D,1/3/2022,849849,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  30,15 ",056,Número Único,D,1/3/2022,849849,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  2.775,91 ",056,Número Único,D,1/3/2022,849915,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  19,28 ",056,Número Único,D,1/3/2022,849917,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  79,18 ",056,Número Único,D,1/3/2022,849917,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  336,30 ",056,Número Único,D,1/3/2022,849922,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  246,55 ",056,Número Único,D,1/3/2022,849922,0,1
101,1011501010001,3010103010002,1/3/2022,1/3/2022,20031013,"  195,98 ",056,Número Único,D,1/3/2022,849943,0,1
